Name,Year,Durasi(Menit),Rating,Budget,Gross_US,Opening_Week,Open_Week_Date,Gross_World,Color,Sound_Mix,Aspect_Ratio
The Shawshank Redemption,1994,142,R,25000000,28767189,727327,1994-09-25 00:00:00,29330423,,Dolby Digital,1.85 : 1
The Godfather,1972,175,R,6000000,136381073,302393,1972-03-19 00:00:00,250342030,Color,Mono Dolby Digital,1.85 : 1
The Dark Knight,2008,152,PG-13,185000000,534987076,158411483,2008-07-20 00:00:00,1008497140,Color,Dolby Digital SDDS DTS,2.39 : 1
The Godfather Part II,1974,202,R,13000000,47834595,171417,2019-11-10 00:00:00,47962897,Color,Dolby Digital,1.85 : 1
12 Angry Men,1957,96,Approved,0,0,0,1900-01-01 00:00:00,0,Black and White,Mono,1.85 : 1
Schindler's List,1993,195,R,22000000,96898818,656636,1993-12-19 00:00:00,322161245,Black and White Color,DTS DTS-Stereo,1.85 : 1
The Lord of the Rings: The Return of the King,2003,201,PG-13,94000000,381722353,72629713,2003-12-21 00:00:00,1151301082,Color,DTS-ES Dolby Digital EX SDDS Dolby Atmos,2.39 : 1
Pulp Fiction,1994,154,R,8000000,107928762,9311882,1994-10-16 00:00:00,213928762,Color,Dolby Digital DTS,2.39 : 1
The Lord of the Rings: The Fellowship of the Ring,2001,178,PG-13,93000000,319205075,47211490,2001-12-23 00:00:00,887184080,Color,DTS SDDS,2.39 : 1
The Good the Bad and the Ugly,1966,178,R,0,0,0,1900-01-01 00:00:00,0,Color,Mono,2.35 : 1
Forrest Gump,1994,142,PG-13,55000000,330455270,24450602,1994-07-10 00:00:00,678226465,Color Black and White,Dolby SR SDDS Dolby Atmos,2.39 : 1
The Lord of the Rings: The Two Towers,2002,179,PG-13,94000000,345372040,62007528,2002-12-22 00:00:00,951403754,Color,DTS-ES Dolby Digital EX SDDS Dolby Atmos,2.39 : 1
Fight Club,1999,139,R,63000000,37030102,11035485,1999-10-17 00:00:00,101320107,Color,Dolby Digital,2.39 : 1
Inception,2010,148,PG-13,160000000,292587330,62785337,2010-07-18 00:00:00,839030630,Color,Dolby Digital DTS SDDS,2.39 : 1
Star Wars: Episode V - The Empire Strikes Back,1980,124,PG,18000000,292753960,4910483,1980-05-25 00:00:00,538375067,,,
The Matrix,1999,136,R,63000000,172076928,27788331,1999-04-04 00:00:00,467684461,Color,Dolby Digital SDDS Dolby Atmos,2.39 : 1
Goodfellas,1990,145,R,25000000,46909721,6368901,1990-09-23 00:00:00,47049784,Color,Dolby SR,1.85 : 1
One Flew Over the Cuckoo's Nest,1975,133,R,0,0,0,1900-01-01 00:00:00,0,Color,Mono,1.85 : 1
Se7en,1995,127,R,33000000,100125643,13949807,1995-09-24 00:00:00,327333559,Color,DTS Dolby Digital DTS 70 mm,2.39 : 1
Interstellar,2014,169,PG-13,165000000,188020017,47510360,2014-11-09 00:00:00,705191242,Color,Datasat Dolby Digital IMAX 6-Track Dolby Surround 7.1,2.39 : 1
It's a Wonderful Life,1946,130,PG,3180000,1483643,44000,2020-12-20 00:00:00,9767242,,,
Seven Samurai,1954,207,Not Rated,125000000,318649,15942,2002-07-28 00:00:00,346258,Black and White,Mono,1.37 : 1
The Silence of the Lambs,1991,118,R,19000000,130742922,13766814,1991-02-18 00:00:00,272742922,Color,Dolby SR Dolby Stereo,1.85 : 1
Saving Private Ryan,1998,169,R,70000000,217049603,30576104,1998-07-26 00:00:00,482351251,Color,DTS Dolby Digital SDDS Dolby Atmos Dolby Digital EX Dolby Stereo,1.85 : 1
City of God,2002,130,R,3300000,7564459,88292,2003-01-19 00:00:00,30680793,Color,Dolby Digital SDDS,1.85 : 1
Life Is Beautiful,1997,116,PG-13,20000000,57563264,118920,1998-10-25 00:00:00,230099013,Color,Dolby Digital,1.85 : 1
The Green Mile,1999,189,R,60000000,136801374,18017152,1999-12-12 00:00:00,286801374,Color,DTS Dolby Digital SDDS,1.85 : 1
Terminator 2: Judgment Day,1991,137,R,102000000,205881154,31765506,1991-07-07 00:00:00,520881154,,,
Star Wars: Episode IV - A New Hope,1977,121,PG,11000000,460998507,1554475,1977-05-30 00:00:00,775398507,,,
Back to the Future,1985,116,PG,19000000,214077472,11152500,1985-07-07 00:00:00,384577472,,,
Spirited Away,2001,125,PG,19000000,15205725,449839,2002-09-22 00:00:00,357561772,Color,DTS-ES Dolby Digital EX,1.85 : 1
Dune: Part Two,2024,166,PG-13,190000000,282144358,82505391,2024-03-03 00:00:00,711844358,,,
The Pianist,2002,150,R,35000000,32590750,111261,2002-12-29 00:00:00,120098945,Color,DTS Dolby Digital,1.85 : 1
Parasite,2019,132,R,11400000,53369749,393216,2019-10-13 00:00:00,262099264,Color,Dolby Atmos,2.39 : 1
Psycho,1960,109,R,0,0,0,1900-01-01 00:00:00,0,Black and White,Dolby Digital,1.37 : 1(original & negative ratio open matte)
